,total ask volume,total bid volume,ask price,bid price,bid-ask spread,mid price,ask price spread,bid price spread,mean ask volume,mean bid volume,mean ask price,mean bid price
2016-01-01 00:00:00,318.63279889,387.5955279100001,430.89,429.84,1.0500000000000114,430.365,2.1100000000000136,1.5199999999999818,15.9316399445,19.379776395500006,432.1405,429.009
2016-01-01 00:00:30,232.15385494,172.03132791,430.89,429.89,1.0,430.39,2.8000000000000114,1.5600000000000023,11.607692747,8.601566395499999,432.3349999999999,429.0750000000001
2016-01-01 00:01:00,290.87173801000006,374.63212791,430.89,429.9,0.9900000000000091,430.395,2.4399999999999977,1.579999999999984,14.543586900500003,18.731606395500002,432.236,428.966
2016-01-01 00:01:30,285.90113801,307.38002790999997,430.89,429.92,0.9699999999999704,430.405,2.4399999999999977,1.5699999999999932,14.2950569005,15.369001395499998,432.32699999999994,429.07000000000005
2016-01-01 00:02:00,312.92933801,327.74147836000003,430.89,429.95,0.9399999999999977,430.41999999999996,2.2800000000000296,1.3000000000000114,15.646466900499998,16.387073918000002,432.36,429.1935
2016-01-01 00:02:30,312.8325808099999,326.71837777999997,430.89,430.05,0.839999999999975,430.47,2.2800000000000296,1.400000000000034,15.641629040499996,16.335918889,432.3450000000001,429.21100000000007
2016-01-01 00:03:00,279.71668081,336.1224229200001,430.89,430.09,0.8000000000000114,430.49,2.2800000000000296,1.4099999999999682,13.9858340405,16.806121146000002,432.3365,429.2315
2016-01-01 00:03:30,279.74468081,306.09877292000004,430.89,430.14,0.75,430.515,2.2800000000000296,1.4399999999999977,13.987234040499999,15.304938646000002,432.3665,429.3355
2016-01-01 00:04:00,279.87168081000004,295.1160077800001,430.89,430.17,0.7199999999999704,430.53,2.330000000000041,1.5200000000000387,13.993584040500002,14.755800389000004,432.389,429.245
2016-01-01 00:04:30,231.93487864999997,179.66294621000003,430.89,430.19,0.6999999999999886,430.53999999999996,2.6100000000000136,2.069999999999993,11.596743932499999,8.983147310500001,432.44350000000003,428.91949999999997
