,total ask volume,total bid volume,ask price,bid price,bid-ask spread,mid price,ask price spread,bid price spread,mean ask volume,mean bid volume,mean ask price,mean bid price
2016-01-01 00:00:00,318.63279889,387.5955279100001,430.89,429.84,1.0500000000000114,430.365,2.1100000000000136,1.5199999999999818,15.9316399445,19.379776395500006,432.1405,429.009
2016-01-01 00:10:00,414.54388647,305.88847007,432.41,431.46,0.9500000000000455,431.935,1.4899999999999523,2.5299999999999727,20.7271943235,15.2944235035,433.13199999999995,430.11100000000005
2016-01-01 00:20:00,311.29751085,398.5698886199999,432.42,431.46,0.9600000000000364,431.94,1.4699999999999704,2.4499999999999886,15.5648755425,19.928494430999997,433.2915,430.2975
2016-01-01 00:30:00,234.42920416000004,264.97527866,432.39,431.46,0.9300000000000068,431.92499999999995,1.410000000000025,2.4499999999999886,11.721460208000002,13.248763933000001,433.07349999999997,430.31400000000014
2016-01-01 00:40:00,248.87316849,253.62886015,431.11,430.09,1.0200000000000387,430.6,2.349999999999966,1.4099999999999682,12.4436584245,12.6814430075,432.6055,429.3755
2016-01-01 00:50:00,254.09346835999997,239.65007268000002,431.05,430.16,0.8899999999999864,430.605,2.6399999999999864,1.8100000000000023,12.704673417999999,11.982503634,432.779,429.22799999999995
2016-01-01 01:00:00,280.69590817000005,189.33796361999998,431.05,429.8,1.25,430.425,2.1200000000000045,1.4600000000000364,14.034795408500003,9.466898181,432.2610000000001,429.06500000000017
2016-01-01 01:10:00,254.61436107999998,360.89283267999997,431.35,429.43,1.920000000000016,430.39,2.4499999999999886,1.1100000000000136,12.730718053999999,18.044641633999998,432.57949999999994,428.8460000000001
2016-01-01 01:20:00,248.38269032,304.78196239999994,431.38,430.82,0.5600000000000023,431.1,2.3100000000000023,2.1399999999999864,12.419134516,15.239098119999998,432.55199999999996,429.224
2016-01-01 01:30:00,257.80518767999996,214.42945372,431.23,429.8,1.4300000000000068,430.515,2.569999999999993,1.5,12.890259383999998,10.721472686,432.4004999999999,428.895
