,Price,K360,K180,K60,D360,D180,D60,sD360,sD180,sD60,MOM360,MOM180,MOM60,ROC360,ROC180,ROC60,LWR360,LWR180,LWR60,ADOSC360,ADOSC180,ADOSC60,DISP360,DISP180,DISP60,OSCP180-360,OSCP60-180,RSI360,RSI180,RSI60,CCI360,CCI180,CCI60,DELTAP
2016-02-02 06:58:38,372.52,13.588850174215532,8.148148148147088,12.716763005778922,62.45642490059445,49.31527898905253,22.895470765077317,76.61094988984473,75.04227280652003,25.49461683778518,0.2599999999999909,-0.8100000000000023,-0.8799999999999955,100.06984365765862,99.7830337770873,99.76432779860738,86.41114982578446,91.85185185185291,87.28323699422108,0.8641114982578447,0.9185185185185292,0.8728323699422108,99.8234240022772,99.7506887337164,99.86047091401603,0.0007286392877001262,-0.0011005656371224912,49.73993450202269,49.123461395001804,45.067264573990975,0.3206639013719411,-0.6709802019207357,-1.4460458835284469,0.0
2016-02-02 06:59:08,373.09,13.588850174215532,8.148148148147088,12.716763005778922,62.35594735788327,48.80499092320891,22.680066387823228,76.52983485027777,74.91622455154744,25.355198497431733,0.2599999999999909,-0.8100000000000023,-0.8799999999999955,100.06984365765862,99.7830337770873,99.76432779860738,86.41114982578446,91.85185185185291,87.28323699422108,0.8641114982578447,0.9185185185185292,0.8728323699422108,99.82323081196823,99.75189072123678,99.86439723790355,0.0007146642134418335,-0.001127863500664657,50.253016738030354,48.46996599924441,45.067264573990975,0.31588211549068307,-0.6801460101642852,-1.4013516596749385,0.5699999999999932
2016-02-02 06:59:38,373.09,33.44947735191561,29.259259259258034,45.664739884391985,62.310638223999035,48.41198680798256,23.01379495854603,76.44875176065068,74.78522307649818,25.22949757057894,0.8299999999999841,-0.2400000000000091,-0.05000000000001137,100.22296244560253,99.93571371172956,99.9866002036769,66.5505226480844,70.74074074074197,54.335260115608015,0.8641114982578447,0.9185185185185292,0.8728323699422108,99.97535459130725,99.90487969825725,100.0185869951799,0.000704922661570987,-0.0011381555862545406,50.79884504331087,49.55621301775146,48.36670179135929,0.789844956504039,-0.17345609471656162,-0.5667695384242156,0.0
2016-02-02 07:00:08,373.09,33.44947735191561,29.259259259258034,45.664739884391985,62.2653290901148,48.01898269275621,23.625301307046595,76.36770062096348,74.64926838137225,25.126773316486055,0.3599999999999568,-0.2400000000000091,-0.05000000000001137,100.09658465913662,99.93571371172956,99.9866002036769,66.5505226480844,70.74074074074197,54.335260115608015,0.6655052264808439,0.7074074074074197,0.5433526011560802,99.97473693738151,99.90523639576986,100.01881043858704,0.0006951810401379223,-0.0011368177176145442,50.79884504331087,49.55621301775146,49.72914409534122,0.786000001178404,-0.18291881326582793,-0.5423141873823439,0.0
2016-02-02 07:00:38,373.09,33.44947735191561,29.259259259258034,45.664739884391985,62.15755318323747,47.625978577529864,24.236807655547164,76.28633439358843,74.50960031000206,25.03994240181975,0.3599999999999568,-0.2400000000000091,-0.3100000000000023,100.09658465913662,99.93571371172956,99.91697911087306,66.5505226480844,70.74074074074197,54.335260115608015,0.6655052264808439,0.7074074074074197,0.5433526011560802,99.9744690416662,99.90559309582957,100.01903388299256,0.000688935350163381,-0.0011354798429970394,50.34965034965032,49.55621301775146,49.72914409534122,0.7816118194262037,-0.19254810940661024,-0.5178686837899873,0.0
2016-02-02 07:01:08,373.09,33.44947735191561,29.259259259258034,45.664739884391985,62.049777276360146,47.23297446230352,24.57053622626996,76.20465307852551,74.36617859870216,24.95974556732076,0.3599999999999568,-0.2400000000000091,-0.3100000000000023,100.09658465913662,99.93571371172956,99.91697911087306,66.5505226480844,70.74074074074197,54.335260115608015,0.6655052264808439,0.7074074074074197,0.5433526011560802,99.97420114738662,99.90594979843641,100.02041926059043,0.0006826896155898094,-0.0011457722226250711,50.34965034965032,49.55621301775146,48.27201783723519,0.7772413931660641,-0.2023520635799638,-0.4922108940881528,0.0
2016-02-02 07:01:38,373.25,33.44947735191561,29.259259259258034,45.664739884391985,62.002616517817266,46.83997034707717,24.904264796992763,76.12299342659882,74.21900324747251,24.89965503521131,0.3599999999999568,-0.2400000000000091,-0.3100000000000023,100.09658465913662,99.93571371172956,99.91697911087306,66.5505226480844,70.74074074074197,54.335260115608015,0.6655052264808439,0.7074074074074197,0.5433526011560802,99.97393325454273,99.90630650359037,100.02180467656696,0.0006764438364165773,-0.0011560648873795779,50.34965034965032,49.55621301775146,48.27201783723519,0.7727646903103361,-0.21233929021532746,-0.4662822142378875,0.160000000000025
2016-02-02 07:02:08,373.25,39.02439024390254,35.18518518518491,54.91329479768843,61.9709416284188,46.479888042550414,25.318233244122176,76.0416282938804,74.06825715526148,24.859776425006817,0.2400000000000091,-0.07999999999998408,-0.14999999999997726,100.06434143856733,99.9785712372432,99.95982860203536,60.97560975609746,64.8148148148151,45.08670520231157,0.6655052264808439,0.7074074074074197,0.5433526011560802,100.01642005080257,99.94927037107033,100.06536978611169,0.0006713865553090119,-0.0011615834173709563,50.50348567002323,49.85294117647061,49.178532311062554,0.9042261651408406,-0.07165330338934038,-0.18957054558944736,0.0
2016-02-02 07:02:38,373.25,39.02439024390254,35.18518518518491,54.91329479768843,61.87279000587694,46.11980573802366,25.732201691251593,75.96018836518607,73.91469839007857,24.836915292262837,0.2400000000000091,-0.07999999999998408,0.14999999999997726,100.06434143856733,99.9785712372432,100.04020369874027,60.97560975609746,64.8148148148151,45.08670520231157,0.6097560975609746,0.6481481481481509,0.45086705202311567,100.01624138116364,99.94938932462884,100.066040458941,0.0006684120060063209,-0.0011671020213368452,50.2336448598131,49.85294117647061,49.178532311062554,0.8993353174867742,-0.08162228766502073,-0.16270562628912574,0.0
2016-02-02 07:03:08,373.25,39.02439024390254,35.18518518518491,54.91329479768843,61.77463838333508,45.75972343349691,26.501224440803675,75.87867364051588,73.7583269519238,24.842906780393456,1.079999999999984,-0.07999999999998408,0.14999999999997726,100.29018996695058,99.9785712372432,100.04020369874027,60.97560975609746,64.8148148148151,45.08670520231157,0.6097560975609746,0.6481481481481509,0.45086705202311567,100.01606271216306,99.94950827847052,100.06536978611169,0.0006654374496233652,-0.0011592003766378125,50.2336448598131,49.85294117647061,50.849377123442686,0.8944668385468881,-0.091779411768802,-0.1456982427887773,0.0
